architecture	archive_member	file_description
armel	./usr/sbin/ip	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/ip6tables-multi	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/iptables-multi	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/iwconfig	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/jcpd	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/klogd	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, not stripped
armel	./usr/sbin/lld2d	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/logd	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/logger	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/mrd	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/mydlinkeventd	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, not stripped
armel	./usr/sbin/nameresolv	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/nas	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/nsbbox	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/nvram	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/openssl	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/parse2db	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/portt	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, not stripped
armel	./usr/sbin/pppd	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/proxyd	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/radvd	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/radvdump	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/rdisc6	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/rgbin	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/rndimage	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/servd	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/stunnel	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/sxstoragemanager	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/taskset	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/tc	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, with debug_info, not stripped
armel	./usr/sbin/telnetd	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/trigger	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, not stripped
armel	./usr/sbin/udevmonitor	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, with debug_info, not stripped
armel	./usr/sbin/udhcpd	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/updateleases	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/updatewifistats	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/usbmount	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/wifidog	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/wl	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/wlconf	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/wpatalk	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/wps_monitor	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./usr/sbin/xl2tpd	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, not stripped
armel	./usr/sbin/xl2tpd-control	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, not stripped
armel	./usr/sbin/xmldb	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./lib/ld-uClibc-0.9.32.1.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libFLAC.so.8.2.0	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libavcodec.so.53	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libavformat.so.53	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libavutil.so.51	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libbcm.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libbcmcrypto.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libcrypt-0.9.32.1.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./lib/libcrypto.so.1.0.0	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libcurl.so.4	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, with debug_info, not stripped
armel	./lib/libdl-0.9.32.1.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./lib/libexif.so.12.3.2	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libgcc_s.so.1	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, with debug_info, not stripped
armel	./lib/libgdbm.so.3	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, with debug_info, not stripped
armel	./lib/libgmp.so.10.1.3	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, with debug_info, not stripped
armel	./lib/libiconv.so.2.2.0	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, with debug_info, not stripped
armel	./lib/libid3tag.so.0.2.0	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libjpeg.so.8.3.0	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, with debug_info, not stripped
armel	./lib/libm-0.9.32.1.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./lib/libnsl-0.9.32.1.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./lib/libnvram.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libogg.so.0.8.0	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libpthread-0.9.32.1.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, with debug_info, not stripped
armel	./lib/libresolv-0.9.32.1.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./lib/librt-0.9.32.1.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./lib/libshared.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libsqlite3.so.0.8.6	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libssl.so.1.0.0	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libuClibc-0.9.32.1.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./lib/libutil-0.9.32.1.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped
armel	./lib/libuuid.so.1.2	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libvorbis.so.0.4.5	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libwpa_common.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libwpa_ctrl.so	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/libz.so.1.2.3	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped
armel	./lib/modules/ctf.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=48cc23e8acbef48bc35cfdf4450b1d1d96b241d6, not stripped
armel	./lib/modules/emf.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=8aaa7578fb1e52b81085b52b7182710a6fe30153, not stripped
armel	./lib/modules/et.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=696fe649c751e76d8c148d98d70f5aa4e5c60fe3, not stripped
armel	./lib/modules/igs.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=fd3a71decdd49c3eb7bd3854c0df2b60ec34b119, not stripped
armel	./lib/modules/ip6t_CTFILTER.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=e5802f9148150bf5f1740876764c2396170f96b0, not stripped
armel	./lib/modules/nf_conntrack_ipsec_pass.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=e099d101a2a5d50645d0ca874bafb596190ea519, not stripped
armel	./lib/modules/nf_conntrack_pptp.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=59dbf8013c6e24d705427fb4a464c669df057e38, not stripped
armel	./lib/modules/nf_conntrack_rtsp.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=6cb82efb21b9c86b06135b9ca40ee6a6d0fd4a29, not stripped
armel	./lib/modules/nf_conntrack_sip.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=716c2ddad99dc8b466e28d3500e8cb7ccb989728, not stripped
armel	./lib/modules/nf_nat_pptp.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=30197f16f8a9d63f25169c8ef98f406d85b07054, not stripped
armel	./lib/modules/nf_nat_rtsp.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=c73ec07a3243dc546e27ac2ebd99ba62583940a6, not stripped
armel	./lib/modules/nf_nat_sip.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=dcd878cbb3da995994a752dd6e69825f463af982, not stripped
armel	./lib/modules/silex/jcp.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=2409772a02ffe1b949294c8213e798580fd6f023, not stripped
armel	./lib/modules/silex/jcp_cmd.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=0d2d5aa60d09a3a56e6cf2c4bfee16d7ce71067a, not stripped
armel	./lib/modules/silex/sxuptp.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=5b94f81495b41cb29a04e223ffe616cd37e2b1eb, not stripped
armel	./lib/modules/silex/sxuptp_devfilter.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=7029fa0e30e29bf3cd6888dfd0c118775ea52001, not stripped
armel	./lib/modules/silex/sxuptp_driver.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=3b947e2667cf97f650bdd7a31a73c02fc901ecd3, not stripped
armel	./lib/modules/ufsd.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=f634bda8b384de6e44721c18fe1879652786e1be, not stripped
armel	./lib/modules/usb-storage.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=67a4750b92c4da07f0765a6f56bb989392b3e43f, not stripped
armel	./lib/modules/wl_ap.ko	ELF 32-bit LSB relocatable, ARM, EABI5 version 1 (SYSV), BuildID[sha1]=1e3e63bc610cf61473e1154211cb83ac5578fe55, not stripped
armel	./usr/lib/ipsec/_copyright	ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, with debug_info, not stripped
